x_coord,y_coord,spl_code,Plant_ID,ipen,match_name,ott_id,rank,wikidataID,unknown,UUID,Airtable
2578498.608,1182397.925,DBGI_SPL_000383,Paeonia daurica subsp. mlokosewitschii (Lomakin) D.Y.Hong,XX 0 FRIBG 20160364,Paeonia daurica,"825490",species,http://www.wikidata.org/entity/Q1307422,,{6cd33629-c0e9-485f-90fb-3571c6195e5d},
2578499.660,1182396.904,DBGI_SPL_000465,Paeonia lutea Franch.,XX 0 FRIBG 20030654,Paeonia lutea,"163410",species,,,{f671e9df-eb5d-483f-8381-ed61b1cc4764},
2578501.456,1182395.357,DBGI_SPL_000412,Corylopsis spicata Siebold et Zucc.,XX 0 FRIBG 20030892,Corylopsis spicata,"467498",species,,,{223836cf-0e2f-4e44-ab3d-3c86cafc5c33},
2578504.281,1182395.562,DBGI_SPL_000502,Parrotia persica (DC.) C.A. Mey.,XX 0 FRIBG 20150407,Parrotia persica,"256506",species,http://www.wikidata.org/entity/Q1138533,,{af2e0a3b-7955-4995-b90d-27d48ff6204f},
2578500.479,1182399.816,DBGI_SPL_000393,Vitis vinifera L. subsp. vinifera,IT 0 P 2013g090,Vitis vinifera,"756728",species,http://www.wikidata.org/entity/Q30046,,{398bf57f-54ea-459b-83bb-a5a84605c0da},
2578503.887,1182392.286,DBGI_SPL_000479,Liquidambar styraciflua L.,XX 0 FRIBG 20160300,Liquidambar styraciflua,"62530",species,http://www.wikidata.org/entity/Q469652,,{c4d7ffe0-cbe9-4251-8ae0-2b91330f2bae},
2578503.689,1182390.290,DBGI_SPL_000468,Fothergilla gardenii L.,XX 0 FRIBG 10001206,Fothergilla gardenii,"916076",species,,,{ece80f2e-0d92-49d5-9d13-9f5044b11650},
2578507.368,1182390.610,DBGI_SPL_000490,Cercidiphyllum japonicum Sieb. et Zucc. M�le,XX 0 FRIBG 10000882,,"0",,,,{959b1916-0413-4fb6-aead-384033203a71},
2578505.455,1182386.250,DBGI_SPL_000405,Ribes aureum Pursh,XX 0 FRIBG 20170331,Ribes aureum,"64564",species,http://www.wikidata.org/entity/Q149376,,{f32d351e-3e9f-4844-b29d-9b6a18ff950d},
2578507.689,1182385.190,DBGI_SPL_000382,Ribes fasciculatum Siebold et Zucc.,XX 0 MJG 199811602,Ribes fasciculatum,"852529",species,,,{65eb0675-5670-4c9a-badc-8b703f5afd62},
2578509.578,1182384.106,DBGI_SPL_000394,Ribes nigrum L. 'Titania',XX 0 FRIBG 19940510,Ribes nigrum,"248647",species,http://www.wikidata.org/entity/Q146604,,{e7baa7cc-1625-49f7-99ec-19f318c8ab95},
2578509.003,1182382.645,DBGI_SPL_000438,Ribes rubrum L. 'Blanc de Versailles',XX 0 FRIBG 10002012,Ribes rubrum,"154642",species,http://www.wikidata.org/entity/Q146661,,{c7f44082-0992-44b7-8f0c-2cb2cd83c4e5},
2578508.198,1182380.427,DBGI_SPL_000458,Ribes uva-crispa var. sativum DC. 'Hinnonm�ki',XX 0 FRIBG 20040483,,"0",,,,{d00adfb1-d554-496f-a703-bca0c8774db8},
2578508.919,1182396.237,DBGI_SPL_000395,Bergenia crassifolia (L.) Fritsch,XX 0 FRIBG 10002802,Bergenia crassifolia,"756735",species,http://www.wikidata.org/entity/Q162752,,{bfebcc39-deed-4b63-b9df-0e1fa2b97a5c},
2578506.660,1182398.865,DBGI_SPL_000498,Darmera peltata (Benth.) Voss,XX 0 FRIBG 10001037,Darmera peltata,"798411",species,http://www.wikidata.org/entity/Q1537045,,{67263e46-8448-49d4-b9da-0ff72fc36906},
2578506.221,1182399.156,DBGI_SPL_000424,Astilbe japonica (C. Morren et Decne.) A.Gray,XX 0 FRIBG 20010439,Astilbe japonica,"1062950",species,,,{aea0a6d4-fb1d-42c2-87cc-c06e9a28ad57},
2578505.088,1182399.257,DBGI_SPL_000497,Tiarella cordifolia L.,XX 0 FRIBG 20160086,Tiarella cordifolia,"738831",species,,,{dcd035a5-4409-43c6-8229-b536afe4b9cd},
2578505.782,1182399.725,DBGI_SPL_000469,Mitella caulescens Nutt.,XX 0 FRIBG 10001646,Mitella caulescens,"365307",species,,,{a3296e78-bc5d-466c-a21a-b51a752cd1e9},
2578505.183,1182400.372,DBGI_SPL_000389,Tolmiea menziesii (Pursh) Torr. et A. Gray.,US 0 M 2008/0582,Tolmiea menziesii,"182586",species,,,{98d51030-630e-4d62-9b5e-d95018b619ba},
2578504.756,1182400.128,DBGI_SPL_000501,Heuchera americana L. s.l.,XX 0 FRIBG 20200014,Heuchera americana,"883164",species,,,{f900eea7-9e63-432d-b90b-00b0e9df4e89},
2578504.578,1182399.690,DBGI_SPL_000387,Tellima grandiflora (Pursh) Lindl.,XX 0 FRIBG 20200034,Tellima grandiflora,"182588",species,http://www.wikidata.org/entity/Q847750,,{04b80a29-2360-428f-8cb7-efd1d3abc178},
2578504.412,1182400.686,DBGI_SPL_000402,Saxifraga geranioides L.,XX 0 B 0270601,Saxifraga geranioides,"306227",species,,,{4a256b99-9a07-4370-b72d-05d8262b9923},
2578504.139,1182400.971,DBGI_SPL_000448,Saxifraga hypnoides L.,XX 0 FRIBG 10002179,Saxifraga hypnoides,"547207",species,,,{7ab6807e-aa3e-4f33-bec8-5547da5e1868},
2578503.605,1182401.492,DBGI_SPL_000404,Saxifraga hostii Tausch,XX 0 FRIBG 10002925,Saxifraga hostii,"1071846",species,,,{e79235d1-6195-4747-a7d3-43dfe52caaab},
