ipen;idTaxon;secteur;matched_name;Inventaire FRIBG;taxon.ott_id;ott_id;rank;wikidataId;wd_taxa_qid
XX 0 FRIBG 19990304;Astrophytum ornatum (DC.) Britton et Rose;Serre 1 Am.;Astrophytum ornatum;astrophytum ornatum;784781;784781;species;;
XX 0 FRIBG 20120265;Astrophytum ornatum (DC.) F.A.C. Weber fo. bellum;Serre 1 Am.;Astrophytum ornatum;astrophytum ornatum;784781;784781;species;;
XX 0 FRIBG 20120267;Astrophytum ornatum (DC.) F.A.C. Weber fo. denudatum;Serre 1 Am.;Astrophytum ornatum;astrophytum ornatum;784781;784781;species;;
XX 0 FRIBG 20120266;Astrophytum ornatum (DC.) F.A.C. Weber fo. nudum;Serre 1 Am.;Astrophytum ornatum;astrophytum ornatum;784781;784781;species;;
XX 0 MJG 200663450;Asyneuma canescens (Waldst. et Kit.) Griseb. et Schenk s.l.;Syst‚¨me 1;Asyneuma canescens;asyneuma canescens;659497;659497;species;;
CH 0 FRIBG 20080461;Athamanta cretensis L.;Alp. calcaire 3;Athamanta cretensis;athamanta cretensis;586889;586889;species;;
CH 0 Z 20181000;Athamanta cretensis L.;Alp. calcaire 5;Athamanta cretensis;athamanta cretensis;586889;586889;species;;
XX 0 FRIBG 20070555;Athyrium distentifolium Opiz;Foug‚¨res;Athyrium distentifolium;athyrium distentifolium;229794;229794;species;;
CH 0 FRIBG 20020607;Athyrium filix-femina (L.) Roth;Alp. siliceux;Athyrium filix-femina;athyrium filix-femina;718937;718937;species;http://www.wikidata.org/entity/Q1345500;Q1345500
XX 0 FRIBG 10002998;Athyrium filix-femina (L.) Roth;Foug‚¨res;Athyrium filix-femina;athyrium filix-femina;718937;718937;species;http://www.wikidata.org/entity/Q1345500;Q1345500
XX 0 FRIBG 20140524;Athyrium filix-femina (L.) Roth;Syst‚¨me 4;Athyrium filix-femina;athyrium filix-femina;718937;718937;species;http://www.wikidata.org/entity/Q1345500;Q1345500
XX 0 FRIBG 10002998;Athyrium filix-femina (L.) Roth;Alp. siliceux;Athyrium filix-femina;athyrium filix-femina;718937;718937;species;http://www.wikidata.org/entity/Q1345500;Q1345500
XX 0 FRIBG 20050383;Athyrium niponicum (Mett.) Hance 'Metallicum';Foug‚¨res;Athyrium niponicum;athyrium niponicum;241616;241616;species;http://www.wikidata.org/entity/Q17044134;Q17044134
XX 0 FRIBG 10000088;Atriplex hortensis L.;Syst‚¨me 3;Atriplex hortensis;atriplex hortensis;733240;733240;species;http://www.wikidata.org/entity/Q158505;Q158505
XX 0 FRIBG 10000697;Atriplex hortensis L. (feuilles rouges);Syst‚¨me 3;Atriplex hortensis;atriplex hortensis;733240;733240;species;http://www.wikidata.org/entity/Q158505;Q158505
XX 0 FRIBG 20031048;Atropa bella-donna L.;Syst‚¨me 1;Atropa bella-donna;atropa bella-donna;3870227;3870227;species;;
XX 0 FRIBG 20031048;Atropa bella-donna L.;M‚dicinal;Atropa bella-donna;atropa bella-donna;3870227;3870227;species;;
XX 0 FRIBG 20031047;Atropa bella-donna L. fo. lutea;Syst‚¨me 1;Atropa bella-donna;atropa bella-donna;3870227;3870227;species;;
GR 0 B 1365080;Aubrieta deltoidea (L.) DC.;Syst‚¨me 3;Aubrieta deltoidea;aubrieta deltoidea;19803;19803;species;;
XX 0 FRIBG 19890487;Aubrieta erubescens Gries.;Pl. m‚dit.;Aubrieta erubescens;aubrieta erubescens;3931276;3931276;species;;
GR 0 FRIBG 20010548;Aubrieta gracilis subsp. scardica (Wettst.) Phitos;Rocaille 3;Aubrieta gracilis;aubrieta gracilis;3931277;3931277;species;;
XX 0 FRIBG 20030340;Aurinia corymbosa Griseb.;Pl. m‚dit.;Aurinia corymbosa;aurinia corymbosa;3931808;3931808;species;;
XX 0 FRIBG 19920154;Aurinia saxatilis (L.) Desv.;Syst‚¨me 3;Aurinia saxatilis;aurinia saxatilis;580546;580546;species;;
FR 0 FRIBG 20050529;Avena fatua L.;Syst‚¨me 4;Avena fatua;avena fatua;790378;790378;species;http://www.wikidata.org/entity/Q158634;Q158634
XX 0 FRIBG 20150392;Avena nuda L.;Syst‚¨me 4;Avena nuda;avena nuda;341323;341323;species;;
XX 0 FRIBG 10003630;Avena sativa L.;Syst‚¨me 4;Avena sativa;avena sativa;790381;790381;species;http://www.wikidata.org/entity/Q12104;Q12104
XX 0 FRIBG 10003630;Avena sativa L.;M‚dicinal;Avena sativa;avena sativa;790381;790381;species;http://www.wikidata.org/entity/Q12104;Q12104
XX 0 FRIBG 20031226;Avena sterilis L. s.l.;Syst‚¨me 4;Avena sterilis;avena sterilis;920710;920710;species;http://www.wikidata.org/entity/Q1668559;Q1668559
XX 0 FRIBG 20010610;Avena strigosa Schreb.;Syst‚¨me 4;Avena strigosa;avena strigosa;456830;456830;species;http://www.wikidata.org/entity/Q164857;Q164857
XX 0 FRIBG 10000703;Avenella flexuosa (L.) Drejer;Alp. calcaire 1;Avenella flexuosa;avenella flexuosa;762960;762960;species;;
XX 0 BONN 19450;Averrhoa carambola L.;Serre 5;Averrhoa carambola;averrhoa carambola;760798;760798;species;http://www.wikidata.org/entity/Q159447;Q159447
XX 0 FRIBG 20010018;Azorella trifurcata (Gaertn.) Pers.;Rocaille 2;Azorella trifurcata;azorella trifurcata;91052;91052;species;;
XX 0 FRIBG 19530002;Baccharis halimifolia L.;Syst‚¨me 1;Baccharis halimifolia;baccharis halimifolia;958630;958630;species;http://www.wikidata.org/entity/Q948018;Q948018
CH 0 FRIBG 20010434;Baldellia ranunculoides (L.) Parl.;Pl. aquatiques;Baldellia ranunculoides;baldellia ranunculoides;817743;817743;species;;
CH 0 FRIBG 20010434;Baldellia ranunculoides (L.) Parl.;Pl. prot‚g‚es;Baldellia ranunculoides;baldellia ranunculoides;817743;817743;species;;
CH 0 FRIBG 20010434;Baldellia ranunculoides (L.) Parl.;Syst‚¨me 4;Baldellia ranunculoides;baldellia ranunculoides;817743;817743;species;;
XX 0 FRIBG 10000704;Ballota nigra L. s.l.;Syst‚¨me 1;Ballota nigra;ballota nigra;298394;298394;species;http://www.wikidata.org/entity/Q157878;Q157878
XX 0 FRIBG 19660001;Bambusa vulgaris Schrad. ex J.C. Wendl.;Serre 5;Bambusa vulgaris;bambusa vulgaris;1087322;1087322;species;http://www.wikidata.org/entity/Q3219428;Q3219428
XX 0 FRIBG 10000706;Baptisia australis (L.) R. Br.;Syst‚¨me 2;Baptisia australis;baptisia australis;476513;476513;species;http://www.wikidata.org/entity/Q916179;Q916179
