fid,Plant_ID,spl_code,Airtable,unknown,x_coord,y_coord,UUID
"49",Parrotia persica (DC.) C.A. Mey.,DBGI_SPL_000502,,,2578504.281,1182395.562,{af2e0a3b-7955-4995-b90d-27d48ff6204f}
"50",Vitis vinifera L. subsp. vinifera,DBGI_SPL_000393,,,2578500.479,1182399.816,{398bf57f-54ea-459b-83bb-a5a84605c0da}
"51",Liquidambar styraciflua L.,DBGI_SPL_000479,,,2578503.887,1182392.286,{c4d7ffe0-cbe9-4251-8ae0-2b91330f2bae}
"52",Fothergilla gardenii L.,DBGI_SPL_000468,,,2578503.689,1182390.29,{ece80f2e-0d92-49d5-9d13-9f5044b11650}
"53",Cercidiphyllum japonicum Sieb. et Zucc. Mï¿½le,DBGI_SPL_000490,,,2578507.368,1182390.61,{959b1916-0413-4fb6-aead-384033203a71}
"54",Ribes aureum Pursh,DBGI_SPL_000405,,,2578505.455,1182386.25,{f32d351e-3e9f-4844-b29d-9b6a18ff950d}
"55",Ribes fasciculatum Siebold et Zucc.,DBGI_SPL_000382,,,2578507.689,1182385.19,{65eb0675-5670-4c9a-badc-8b703f5afd62}
"56",Ribes nigrum L. 'Titania',DBGI_SPL_000394,,,2578509.578,1182384.106,{e7baa7cc-1625-49f7-99ec-19f318c8ab95}
"57",Ribes rubrum L. 'Blanc de Versailles',DBGI_SPL_000438,,,2578509.003,1182382.645,{c7f44082-0992-44b7-8f0c-2cb2cd83c4e5}
"58",Ribes uva-crispa var. sativum DC. 'Hinnonmï¿½ki',DBGI_SPL_000458,,,2578508.198,1182380.427,{d00adfb1-d554-496f-a703-bca0c8774db8}
"59",Bergenia crassifolia (L.) Fritsch,DBGI_SPL_000395,,,2578508.919,1182396.237,{bfebcc39-deed-4b63-b9df-0e1fa2b97a5c}
"60",Darmera peltata (Benth.) Voss,DBGI_SPL_000498,,,2578506.66,1182398.865,{67263e46-8448-49d4-b9da-0ff72fc36906}
"61",Astilbe japonica (C. Morren et Decne.) A.Gray,DBGI_SPL_000424,,,2578506.221,1182399.156,{aea0a6d4-fb1d-42c2-87cc-c06e9a28ad57}
"62",Tiarella cordifolia L.,DBGI_SPL_000497,,,2578505.088,1182399.257,{dcd035a5-4409-43c6-8229-b536afe4b9cd}
"63",Mitella caulescens Nutt.,DBGI_SPL_000469,,,2578505.782,1182399.725,{a3296e78-bc5d-466c-a21a-b51a752cd1e9}
"64",Tolmiea menziesii (Pursh) Torr. et A. Gray.,DBGI_SPL_000389,,,2578505.183,1182400.372,{98d51030-630e-4d62-9b5e-d95018b619ba}
"65",Heuchera americana L. s.l.,DBGI_SPL_000501,,,2578504.756,1182400.128,{f900eea7-9e63-432d-b90b-00b0e9df4e89}
"66",Tellima grandiflora (Pursh) Lindl.,DBGI_SPL_000387,,,2578504.578,1182399.69,{04b80a29-2360-428f-8cb7-efd1d3abc178}
