fid,Plant_ID,spl_code,Panel,General,Detail,Cut,Panel+Label,x_coord,y_coord,mg
"37",Gasteria rawlinsonii Oberm.,dbgi_000979,DCIM/JPEG_20230323085726820.jpg,DCIM/JPEG_20230323085742011.jpg,DCIM/JPEG_20230323085757798.jpg,DCIM/JPEG_20230323085814715.jpg,DCIM/JPEG_20230323085831440.jpg,2578398.97328039,1182474.97384447,
"38",Gasteria pillansii Kensit,dbgi_000983,DCIM/JPEG_20230323091038997.jpg,DCIM/JPEG_20230323091101398.jpg,DCIM/JPEG_20230323091122572.jpg,DCIM/JPEG_20230323091159842.jpg,DCIM/JPEG_20230323091224573.jpg,2578398.45275678,1182474.30964516,
"39",Gasteria carinata var. verrucosa (Mill.) Van Jaarsv.,dbgi_000949,DCIM/JPEG_20230323091552348.jpg,DCIM/JPEG_20230323091609669.jpg,DCIM/JPEG_20230323091624555.jpg,DCIM/JPEG_20230323091718434.jpg,DCIM/JPEG_20230323091737857.jpg,2578398.42103859,1182474.88634462,
"40",Gasteria nitida (Salm-Dyck) Haw. var. nitida,dbgi_000933,DCIM/JPEG_20230323092044486.jpg,DCIM/JPEG_20230323092101082.jpg,DCIM/JPEG_20230323092113617.jpg,DCIM/JPEG_20230323092156286.jpg,DCIM/JPEG_20230323092219425.jpg,2578397.79184327,1182474.51454739,
"41",Gasteria disticha (L.) Haw.,dbgi_001024,DCIM/JPEG_20230323092517223.jpg,DCIM/JPEG_20230323092529891.jpg,DCIM/JPEG_20230323092546704.jpg,DCIM/JPEG_20230323092604175.jpg,DCIM/JPEG_20230323092627368.jpg,2578397.66314423,1182475.31534143,
"42",Pelargonium 'Lavender Lad',dbgi_001002,DCIM/JPEG_20230323093037483.jpg,DCIM/JPEG_20230323093046231.jpg,DCIM/JPEG_20230323093103753.jpg,DCIM/JPEG_20230323093134794.jpg,DCIM/JPEG_20230323093149613.jpg,2578405.57534091,1182473.48468585,
"43",Pelargonium 'Dimeierii Lila',dbgi_000953,DCIM/JPEG_20230323093523497.jpg,DCIM/JPEG_20230323093536478.jpg,DCIM/JPEG_20230323093606246.jpg,DCIM/JPEG_20230323093702439.jpg,DCIM/JPEG_20230323093735693.jpg,2578400.50299667,1182474.43358778,
"44",Pelargonium laxum (Sweet) G. Don,dbgi_000965,DCIM/JPEG_20230323094043720.jpg,DCIM/JPEG_20230323094055587.jpg,DCIM/JPEG_20230323094112317.jpg,DCIM/JPEG_20230323094133166.jpg,DCIM/JPEG_20230323094200828.jpg,2578396.99656597,1182474.79117028,
"45",Pelargonium bowkeri Harv.,dbgi_000966,DCIM/JPEG_20230323094553610.jpg,DCIM/JPEG_20230323094619447.jpg,DCIM/JPEG_20230323094635542.jpg,DCIM/JPEG_20230323094706950.jpg,DCIM/JPEG_20230323094728016.jpg,2578397.01233942,1182475.46942871,
"47",Pelargonium tongaense Vorster,dbgi_000982,DCIM/JPEG_20230323120626407.jpg,DCIM/JPEG_20230323120639800.jpg,DCIM/JPEG_20230323120709832.jpg,DCIM/JPEG_20230323120805179.jpg,DCIM/JPEG_20230323120823067.jpg,2578396.90733863,1182475.09905637,
"48",Pelargonium klinghardtense R. Knuth,dbgi_000980,DCIM/JPEG_20230323121148562.jpg,DCIM/JPEG_20230323121201498.jpg,DCIM/JPEG_20230323121220375.jpg,DCIM/JPEG_20230323121237796.jpg,DCIM/JPEG_20230323121300831.jpg,2578396.68001156,1182475.11949182,
"49",Pelargonium triste (L.) L'Hr.,dbgi_000937,DCIM/JPEG_20230323121542934.jpg,DCIM/JPEG_20230323121556874.jpg,DCIM/JPEG_20230323121612766.jpg,DCIM/JPEG_20230323121628136.jpg,DCIM/JPEG_20230323121641238.jpg,2578396.64654965,1182475.45411097,
"50",Haworthia viscosa (L.) Haw.,dbgi_000950,DCIM/JPEG_20230323121917921.jpg,DCIM/JPEG_20230323121928437.jpg,DCIM/JPEG_20230323121944991.jpg,DCIM/JPEG_20230323122009614.jpg,DCIM/JPEG_20230323122034813.jpg,2578396.23664119,1182474.79323815,
"51",Haworthia mirabilis (Haw.) Haw.,dbgi_000947,DCIM/JPEG_20230323122458594.jpg,DCIM/JPEG_20230323122507843.jpg,DCIM/JPEG_20230323122518756.jpg,DCIM/JPEG_20230323122548222.jpg,DCIM/JPEG_20230323122604735.jpg,2578396.2716522,1182475.53263209,
"52",Fockea edulis (Thunb.) K.Schum.,dbgi_000955,DCIM/JPEG_20230323122926786.jpg,DCIM/JPEG_20230323122943149.jpg,DCIM/JPEG_20230323122951564.jpg,DCIM/JPEG_20230323123018168.jpg,DCIM/JPEG_20230323123037241.jpg,2578395.80318539,1182475.04743433,
"53",X Astroworthia bicarinata (Haw.) G.D. Rowley,dbgi_000935,DCIM/JPEG_20230323123346651.jpg,DCIM/JPEG_20230323123420043.jpg,DCIM/JPEG_20230323123427762.jpg,DCIM/JPEG_20230323123438820.jpg,DCIM/JPEG_20230323123455408.jpg,2578395.56895199,1182475.02233789,
