sample_name;localisation;sample_id;picture_panel;picture_general;picture_detail;picture_cut;picture_panel_label;x_coord;y_coord;geometry;latitude;longitude;mg 
Lonicera etrusca Boiss.;jbn;dbgi_001149;DCIM/Audrey_le_cabec/Lonicera etrusca Boiss._dbgi_001149_01.jpg;DCIM/Audrey_le_cabec/Lonicera etrusca Boiss._dbgi_001149_02.jpg;DCIM/Audrey_le_cabec/Lonicera etrusca Boiss._dbgi_001149_03.jpg;DCIM/Audrey_le_cabec/Lonicera etrusca Boiss._dbgi_001149_04.jpg;DCIM/Audrey_le_cabec/Lonicera etrusca Boiss._dbgi_001149_05.jpg;2561642.461547445;1205539.9700206332;POINT (2561642.4615474455 1205539.9700206332);46.999801626390145;6.93430118290059;0.0513
Clematis sp;jbn;dbgi_001150;DCIM/Audrey_le_cabec/Clematis sp_dbgi_001150_01.jpg;DCIM/Audrey_le_cabec/Clematis sp_dbgi_001150_02.jpg;DCIM/Audrey_le_cabec/Clematis sp_dbgi_001150_03.jpg;DCIM/Audrey_le_cabec/Clematis sp_dbgi_001150_04.jpg;DCIM/Audrey_le_cabec/Clematis sp_dbgi_001150_05.jpg;2561623.9561669407;1205533.8501036416;POINT (2561623.9561669407 1205533.8501036416);46.99974550531081;6.934058397095236;0.0497
Clematis a;jbn;dbgi_001151;DCIM/Audrey_le_cabec/Clematis a_dbgi_001151_01.jpg;DCIM/Audrey_le_cabec/Clematis a_dbgi_001151_02.jpg;DCIM/Audrey_le_cabec/Clematis a_dbgi_001151_03.jpg;DCIM/Audrey_le_cabec/Clematis a_dbgi_001151_04.jpg;DCIM/Audrey_le_cabec/Clematis a_dbgi_001151_05.jpg;2561602.996732856;1205562.9537332293;POINT (2561602.9967328557 1205562.9537332293);47.00000607372015;6.933780358808173;0.0522
Clematis flammula;jbn;dbgi_001152;DCIM/Audrey_le_cabec/Clematis flammula_dbgi_001152_01.jpg;DCIM/Audrey_le_cabec/Clematis flammula_dbgi_001152_02.jpg;DCIM/Audrey_le_cabec/Clematis flammula_dbgi_001152_03.jpg;DCIM/Audrey_le_cabec/Clematis flammula_dbgi_001152_04.jpg;DCIM/Audrey_le_cabec/Clematis flammula_dbgi_001152_05.jpg;2561589.881906683;1205568.7646100563;POINT (2561589.881906683 1205568.7646100565);47.00005758081562;6.9336074342865475;0.0523
Clematis chinensis Osbeck;jbn;dbgi_001153;DCIM/Audrey_le_cabec/Clematis chinensis Osbeck_dbgi_001153_01.jpg;DCIM/Audrey_le_cabec/Clematis chinensis Osbeck_dbgi_001153_02.jpg;DCIM/Audrey_le_cabec/Clematis chinensis Osbeck_dbgi_001153_03.jpg;DCIM/Audrey_le_cabec/Clematis chinensis Osbeck_dbgi_001153_04.jpg;DCIM/Audrey_le_cabec/Clematis chinensis Osbeck_dbgi_001153_05.jpg;2561618.345759497;1205532.265750087;POINT (2561618.345759497 1205532.265750087);46.99973092878782;6.9339847671183765;0.0513
Clematis alpina (L.) Mill.;jbuf;dbgi_001156;DCIM/Audrey_layer/Clematis alpina (L.) Mill._dbgi_001156_Panel.jpg;DCIM/Audrey_layer/Clematis alpina (L.) Mill._dbgi_001156_General.jpg;DCIM/Audrey_layer/Clematis alpina (L.) Mill._dbgi_001156_Detail.jpg;DCIM/Audrey_layer/Clematis alpina (L.) Mill._dbgi_001156_Cut.jpg;DCIM/Audrey_layer/Clematis alpina (L.) Mill._dbgi_001156_Panel+Label.jpg;2578432.006489232;1182462.4343650537;POINT (2578432.006489232 1182462.4343650537);46.792975521355665;7.156146739688571;0.0487
Euonymus fortunei Hand.- Mazz. 'Coloratus';jbuf;dbgi_001157;DCIM/Audrey_layer/Euonymus fortunei Hand.- Mazz. 'Coloratus'_dbgi_001157_Panel.jpg;DCIM/Audrey_layer/Euonymus fortunei Hand.- Mazz. 'Coloratus'_dbgi_001157_General.jpg;DCIM/Audrey_layer/Euonymus fortunei Hand.- Mazz. 'Coloratus'_dbgi_001157_Detail.jpg;DCIM/Audrey_layer/Euonymus fortunei Hand.- Mazz. 'Coloratus'_dbgi_001157_Cut.jpg;DCIM/Audrey_layer/Euonymus fortunei Hand.- Mazz. 'Coloratus'_dbgi_001157_Panel+Label.jpg;2578383.626050236;1182511.3745128657;POINT (2578383.6260502357 1182511.3745128657);46.79341417893496;7.155510756216644;0.0488
Lonicera alpigena L.;jbuf;dbgi_001158;DCIM/Audrey_layer/Lonicera alpigena L._dbgi_001158_Panel.jpg;DCIM/Audrey_layer/Lonicera alpigena L._dbgi_001158_General.jpg;DCIM/Audrey_layer/Lonicera alpigena L._dbgi_001158_Detail.jpg;DCIM/Audrey_layer/Lonicera alpigena L._dbgi_001158_Cut.jpg;DCIM/Audrey_layer/Lonicera alpigena L._dbgi_001158_Panel+Label.jpg;2578448.816147459;1182426.3588063784;POINT (2578448.816147459 1182426.3588063784);46.7926515563055;7.156368610376055;0.0508
Lonicera xylosteum L.;jbn;dbgi_001159;DCIM/Audrey_le_cabec/Lonicera xylosteum L._dbgi_001159_01.jpg;DCIM/Audrey_le_cabec/Lonicera xylosteum L._dbgi_001159_02.jpg;DCIM/Audrey_le_cabec/Lonicera xylosteum L._dbgi_001159_03.jpg;DCIM/Audrey_le_cabec/Lonicera xylosteum L._dbgi_001159_04.jpg;DCIM/Audrey_le_cabec/Lonicera xylosteum L._dbgi_001159_05.jpg;2561684.2572294767;1205577.0320093525;POINT (2561684.2572294767 1205577.0320093525);47.00013741700284;6.934847566232028;0.0493
Clematis alpina (L.) Mill.;jbn;dbgi_001160;DCIM/Audrey_le_cabec/Clematis alpina (L.) Mill._dbgi_001160_01.jpg;DCIM/Audrey_le_cabec/Clematis alpina (L.) Mill._dbgi_001160_02.jpg;DCIM/Audrey_le_cabec/Clematis alpina (L.) Mill._dbgi_001160_03.jpg;DCIM/Audrey_le_cabec/Clematis alpina (L.) Mill._dbgi_001160_04.jpg;DCIM/Audrey_le_cabec/Clematis alpina (L.) Mill._dbgi_001160_05.jpg;2561670.7902958416;1205557.5060362036;POINT (2561670.7902958416 1205557.5060362036);46.999961002780665;6.934672158183951;0.0518
Clematis vitalba L.;jbn;dbgi_001161;DCIM/Audrey_le_cabec/Clematis vitalba L._dbgi_001161_01.jpg;DCIM/Audrey_le_cabec/Clematis vitalba L._dbgi_001161_02.jpg;DCIM/Audrey_le_cabec/Clematis vitalba L._dbgi_001161_03.jpg;DCIM/Audrey_le_cabec/Clematis vitalba L._dbgi_001161_04.jpg;DCIM/Audrey_le_cabec/Clematis vitalba L._dbgi_001161_05.jpg;2561644.7046123696;1205474.585562562;POINT (2561608.172521831 1205514.2517075413);46.99921362945423;6.934336214133042;0.0521
Clematis recta L.;jbuf;dbgi_001162;DCIM/Audrey_layer/Clematis recta L._dbgi_001162_Panel.jpg;DCIM/Audrey_layer/Clematis recta L._dbgi_001162_General.jpg;DCIM/Audrey_layer/Clematis recta L._dbgi_001162_Detail.jpg;DCIM/Audrey_layer/Clematis recta L._dbgi_001162_Cut.jpg;DCIM/Audrey_layer/Clematis recta L._dbgi_001162_Panel+Label.jpg;2578472.1167170964;1182464.352559565;POINT (2578472.1167170964 1182464.352559565);46.7929940792885;7.1566719912841945;0.0496
Lonicera implexa Aiton;jbn;dbgi_001163;DCIM/Audrey_le_cabec/Lonicera implexa Aiton_dbgi_001163_01.jpg;DCIM/Audrey_le_cabec/Lonicera implexa Aiton_dbgi_001163_02.jpg;DCIM/Audrey_le_cabec/Lonicera implexa Aiton_dbgi_001163_03.jpg;DCIM/Audrey_le_cabec/Lonicera implexa Aiton_dbgi_001163_04.jpg;DCIM/Audrey_le_cabec/Lonicera implexa Aiton_dbgi_001163_05.jpg;2561647.529960029;1205532.6820821606;POINT (2561647.529960029 1205532.6820821606);46.9997363658781;6.934368438717149;0.0502
Lonicera caerulea L.;jbuf;dbgi_001166;DCIM/Audrey_layer/Lonicera caerulea L._dbgi_001166_Panel.jpg;DCIM/Audrey_layer/Lonicera caerulea L._dbgi_001166_General.jpg;DCIM/Audrey_layer/Lonicera caerulea L._dbgi_001166_Detail.jpg;DCIM/Audrey_layer/Lonicera caerulea L._dbgi_001166_Cut.jpg;DCIM/Audrey_layer/Lonicera caerulea L._dbgi_001166_Panel+Label.jpg;2578436.8705271976;1182418.2869126145;POINT (2578436.8705271976 1182418.2869126145);46.79257855870859;7.156212536098103;0.0509
Lonicera japonica Thunb. 'Halliana';jbuf;dbgi_001169;DCIM/Audrey_layer/Lonicera japonica Thunb. 'Halliana'_dbgi_001169_Panel.jpg;DCIM/Audrey_layer/Lonicera japonica Thunb. 'Halliana'_dbgi_001169_General.jpg;DCIM/Audrey_layer/Lonicera japonica Thunb. 'Halliana'_dbgi_001169_Detail.jpg;DCIM/Audrey_layer/Lonicera japonica Thunb. 'Halliana'_dbgi_001169_Cut.jpg;DCIM/Audrey_layer/Lonicera japonica Thunb. 'Halliana'_dbgi_001169_Panel+Label.jpg;2578369.9746757103;1182465.2546559556;POINT (2578369.9746757103 1182465.2546559556);46.792998870677586;7.155334146394731;0.0501
Clematis recta;jbn;dbgi_001173;DCIM/Audrey_le_cabec/Clematis recta_dbgi_001173_01.jpg;DCIM/Audrey_le_cabec/Clematis recta_dbgi_001173_02.jpg;DCIM/Audrey_le_cabec/Clematis recta_dbgi_001173_03.jpg;DCIM/Audrey_le_cabec/Clematis recta_dbgi_001173_04.jpg;DCIM/Audrey_le_cabec/Clematis recta_dbgi_001173_05.jpg;2561588.066007674;1205566.545177935;POINT (2561588.066007674 1205566.545177935);47.00003751182419;6.933583747467559;0.0507
Lonicera nigra L.;jbuf;dbgi_001174;DCIM/Audrey_layer/Lonicera nigra L._dbgi_001174_Panel.jpg;DCIM/Audrey_layer/Lonicera nigra L._dbgi_001174_General.jpg;DCIM/Audrey_layer/Lonicera nigra L._dbgi_001174_Detail.jpg;DCIM/Audrey_layer/Lonicera nigra L._dbgi_001174_Cut.jpg;DCIM/Audrey_layer/Lonicera nigra L._dbgi_001174_Panel+Label.jpg;2578453.29421006;1182437.9391175658;POINT (2578453.29421006 1182437.9391175658);46.792755870496144;7.15642671351401;0.0491
Clematis viticella L.;jbuf;dbgi_001175;DCIM/Audrey_layer/Clematis viticella L._dbgi_001175_Panel.jpg;DCIM/Audrey_layer/Clematis viticella L._dbgi_001175_General.jpg;DCIM/Audrey_layer/Clematis viticella L._dbgi_001175_Detail.jpg;DCIM/Audrey_layer/Clematis viticella L._dbgi_001175_Cut.jpg;DCIM/Audrey_layer/Clematis viticella L._dbgi_001175_Panel+Label.jpg;2578475.279137934;1182448.7664649005;POINT (2578475.279137934 1182448.7664649005);46.79285397989937;7.156714147498697;0.0508
