"Plant_ID","Panel","General","Detail","Cut","Panel.Label","x_coord","y_coord","fid","spl_code","mg"
"Faucaria tigrina (Haw.) Schwantes","DCIM/Succulent_greenhouse/Faucaria tigrina (Haw.) Schwantes_dbgi_000944_Panel.jpg","DCIM/Succulent_greenhouse/Faucaria tigrina (Haw.) Schwantes_dbgi_000944_General.jpg","DCIM/Succulent_greenhouse/Faucaria tigrina (Haw.) Schwantes_dbgi_000944_Detail.jpg","DCIM/Succulent_greenhouse/Faucaria tigrina (Haw.) Schwantes_dbgi_000944_Cut.jpg","DCIM/Succulent_greenhouse/Faucaria tigrina (Haw.) Schwantes_dbgi_000944_Panel+Label.jpg",7.15574866499093,46.7931125164112,119,"dbgi_000944",NA
"Pelargonium peltatum (L.) L'Hr.","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Panel.jpg","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_General.jpg","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Detail.jpg","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Cut.jpg","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Panel+Label.jpg",7.15560159483856,46.7930987458474,72,"dbgi_000946",NA
"Haworthia mirabilis (Haw.) Haw.","DCIM/JPEG_20230323122458594.jpg","DCIM/JPEG_20230323122507843.jpg","DCIM/JPEG_20230323122518756.jpg","DCIM/JPEG_20230323122548222.jpg","DCIM/JPEG_20230323122604735.jpg",7.15567808276592,46.7930921815254,51,"dbgi_000947",NA
"Opuntia microdasys (Lehm.) Pfeiff.","DCIM/Succulent_greenhouse/Opuntia microdasys (Lehm.) Pfeiff._dbgi_000948_Panel.jpg","DCIM/Succulent_greenhouse/Opuntia microdasys (Lehm.) Pfeiff._dbgi_000948_General.jpg","DCIM/Succulent_greenhouse/Opuntia microdasys (Lehm.) Pfeiff._dbgi_000948_Detail.jpg","DCIM/Succulent_greenhouse/Opuntia microdasys (Lehm.) Pfeiff._dbgi_000948_Cut.jpg","DCIM/Succulent_greenhouse/Opuntia microdasys (Lehm.) Pfeiff._dbgi_000948_Panel+Label.jpg",7.15576041548177,46.793105776547,100,"dbgi_000948",NA
"Gasteria carinata var. verrucosa (Mill.) Van Jaarsv.","DCIM/JPEG_20230323091552348.jpg","DCIM/JPEG_20230323091609669.jpg","DCIM/JPEG_20230323091624555.jpg","DCIM/JPEG_20230323091718434.jpg","DCIM/JPEG_20230323091737857.jpg",7.15570626498445,46.7930864379666,39,"dbgi_000949",NA
"Haworthia viscosa (L.) Haw.","DCIM/JPEG_20230323121917921.jpg","DCIM/JPEG_20230323121928437.jpg","DCIM/JPEG_20230323121944991.jpg","DCIM/JPEG_20230323122009614.jpg","DCIM/JPEG_20230323122034813.jpg",7.15567765927707,46.7930855292946,50,"dbgi_000950",NA
"Pelargonium abrotanifolium (L. f.) Jacq.","DCIM/JPEG_20230323124507732.jpg","DCIM/JPEG_20230323124522844.jpg","DCIM/JPEG_20230323124541717.jpg","DCIM/JPEG_20230323124613862.jpg","DCIM/JPEG_20230323124627139.jpg",7.15566462033507,46.7930894390006,56,"dbgi_000951",NA
"Cotyledon orbiculata L. var. orbiculata","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Panel.jpg","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_General.jpg","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Detail.jpg","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Cut.jpg","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Panel+Label.jpg",7.15563841586003,46.7930931910887,63,"dbgi_000952",NA
"Pelargonium 'Dimeierii Lila'","DCIM/JPEG_20230323093523497.jpg","DCIM/JPEG_20230323093536478.jpg","DCIM/JPEG_20230323093606246.jpg","DCIM/JPEG_20230323093702439.jpg","DCIM/JPEG_20230323093735693.jpg",7.15573355487859,46.7930824330763,43,"dbgi_000953",NA
"Rabiea albinota (Haw.) N.E. Br.","DCIM/JPEG_20230322150143755.jpg","DCIM/JPEG_20230322150201133.jpg","DCIM/JPEG_20230322150229005.jpg","DCIM/JPEG_20230322150301876.jpg","DCIM/JPEG_20230322150334826.jpg",7.15572279608731,46.7930875766901,33,"dbgi_000954",NA
"Fockea edulis (Thunb.) K.Schum.","DCIM/JPEG_20230323122926786.jpg","DCIM/JPEG_20230323122943149.jpg","DCIM/JPEG_20230323122951564.jpg","DCIM/JPEG_20230323123018168.jpg","DCIM/JPEG_20230323123037241.jpg",7.15567197003803,46.7930878017532,52,"dbgi_000955",NA
"Canarina canariensis (L.) Vatke","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Panel.jpg","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_General.jpg","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Detail.jpg","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Cut.jpg","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Panel+Label.jpg",7.15563969554069,46.7930882938963,61,"dbgi_000956",NA
"Crassula deceptor Schnland et Baker f.","DCIM/JPEG_20230323125501027.jpg","DCIM/JPEG_20230323125510242.jpg","DCIM/JPEG_20230323125537255.jpg","DCIM/JPEG_20230323125548672.jpg","DCIM/JPEG_20230323125607269.jpg",7.15566350205131,46.793093725538,58,"dbgi_000957",NA
"Oscularia deltoides (L.) Schwantes","DCIM/Succulent_greenhouse/Oscularia deltoides (L.) Schwantes_dbgi_000958_Panel.jpg","DCIM/Succulent_greenhouse/Oscularia deltoides (L.) Schwantes_dbgi_000958_General.jpg","DCIM/Succulent_greenhouse/Oscularia deltoides (L.) Schwantes_dbgi_000958_Detail.jpg","DCIM/Succulent_greenhouse/Oscularia deltoides (L.) Schwantes_dbgi_000958_Cut.jpg","DCIM/Succulent_greenhouse/Oscularia deltoides (L.) Schwantes_dbgi_000958_Panel+Label.jpg",7.15563780390185,46.7931210591364,93,"dbgi_000958",NA
"Sansevieria erythraeae Mattei","DCIM/Succulent_greenhouse/Sansevieria erythraeae Mattei_dbgi_000959_Panel.jpg","DCIM/Succulent_greenhouse/Sansevieria erythraeae Mattei_dbgi_000959_General.jpg","DCIM/Succulent_greenhouse/Sansevieria erythraeae Mattei_dbgi_000959_Detail.jpg","DCIM/Succulent_greenhouse/Sansevieria erythraeae Mattei_dbgi_000959_Cut.jpg","DCIM/Succulent_greenhouse/Sansevieria erythraeae Mattei_dbgi_000959_Panel+Label.jpg",7.15570810738379,46.7931109795569,96,"dbgi_000959",NA
"Crassula perforata Thunb.","DCIM/JPEG_20230323125009421.jpg","DCIM/JPEG_20230323125020621.jpg","DCIM/JPEG_20230323125042513.jpg","DCIM/JPEG_20230323125130458.jpg","DCIM/JPEG_20230323125146115.jpg",7.15566233649403,46.7930861975187,57,"dbgi_000961",NA
"Aeonium arboreum (L.) Webb et Berthel. var. arboreum","DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_General.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_Panel+Label.jpg",7.15560940257153,46.7931008559078,68,"dbgi_000962",NA
"Pelargonium laxum (Sweet) G. Don","DCIM/JPEG_20230323094043720.jpg","DCIM/JPEG_20230323094055587.jpg","DCIM/JPEG_20230323094112317.jpg","DCIM/JPEG_20230323094133166.jpg","DCIM/JPEG_20230323094200828.jpg",7.15568761248221,46.793085535446,44,"dbgi_000965",NA
"Pelargonium bowkeri Harv.","DCIM/JPEG_20230323094553610.jpg","DCIM/JPEG_20230323094619447.jpg","DCIM/JPEG_20230323094635542.jpg","DCIM/JPEG_20230323094706950.jpg","DCIM/JPEG_20230323094728016.jpg",7.15568778690792,46.7930916371163,45,"dbgi_000966",NA
"Colletia paradoxa (Spreng.) Escl.","DCIM/Succulent_greenhouse/Colletia paradoxa (Spreng.) Escl._dbgi_000967_Panel.jpg","DCIM/Succulent_greenhouse/Colletia paradoxa (Spreng.) Escl._dbgi_000967_General.jpg","DCIM/Succulent_greenhouse/Colletia paradoxa (Spreng.) Escl._dbgi_000967_Detail.jpg","DCIM/Succulent_greenhouse/Colletia paradoxa (Spreng.) Escl._dbgi_000967_Cut.jpg","DCIM/Succulent_greenhouse/Colletia paradoxa (Spreng.) Escl._dbgi_000967_Panel+Label.jpg",7.15578908849007,46.7931018431364,101,"dbgi_000967",NA
