x_coord;y_coord;spl_code;Plant_ID;ipen;match_name;ott_id;rank;wikidataID;unknown;UUID;Airtable
7.156966462;46.79245387;DBGI_SPL_000426;Kirengeshoma palmata Yatabe;XX 0 FRIBG 20060419;Kirengeshoma palmata;880698;species;;;{eb129202-66c8-4bf7-861b-242a543e521a};NA
7.157062669;46.79243286;DBGI_SPL_000427;Sedum rupestre L.;XX 0 FRIBG 20160209;Sedum rupestre;810627;species;http://www.wikidata.org/entity/Q158943;;{a576b3ac-affd-4523-8a0a-4ae20ab92f6e};NA
7.156736335;46.79247467;DBGI_SPL_000428;Cyrilla racemiflora L.;XX 0 FRIBG 20050229;Cyrilla racemiflora;66740;species;;;{831c0768-eaba-4eeb-bda3-2b38a463d488};NA
7.156690057;46.79234829;DBGI_SPL_000429;Ornithogalum regale (Hilliard et B.L. Burtt) J.C. Manning et Goldblatt;ZA 0 KL 2013/2858;Ornithogalum regale;3969872;species;;;{50bffe71-1d67-49df-8b9e-041a7f8ff684};NA
7.156774796;46.79249828;DBGI_SPL_000430;Stewartia pseudocamellia var. koreana ( Rehder) Sealy;XX 0 FRIBG 20070307;Stewartia pseudocamellia;112434;species;;;{36908d71-e686-4ada-82f7-f6817649de3d};NA
7.156803436;46.79236445;DBGI_SPL_000431;Schisandra chinensis (Turcz.) Baill. mono�que;XX 0 FRIBG 20150335;;0;;;;{a7d14dc1-3a3e-4e49-b74e-2307c97ba5fa};NA
7.156989232;46.79236031;DBGI_SPL_000432;Cephalotaxus harringtonii (J. Forbes) K. Koch;XX 0 FRIBG 20150362;Cephalotaxus harringtonii;10224;species;http://www.wikidata.org/entity/Q50839379;;{16a6656e-3560-4dc7-9256-c1c7259824db};NA
7.156693037;46.79234454;DBGI_SPL_000433;Muscari neglectum Ten.;GR 0 FRIBG 20150191;Muscari neglectum;172927;species;http://www.wikidata.org/entity/Q163062;;{0ea4ec07-d2f4-403b-86a3-37b81016177d};NA
7.156895494;46.79244761;DBGI_SPL_000434;Davidia involucrata Baill. s.l.;XX 0 FRIBG 20150346;Davidia involucrata;555257;species;;;{4563da82-75d1-40e2-9edc-22f6e483595a};NA
7.156658048;46.79242042;DBGI_SPL_000435;Iris tectorum Maxim.;XX 0 FRIBG 20031178;Iris tectorum;724757;species;http://www.wikidata.org/entity/Q1023515;;{38157066-8822-448c-a478-f92be2a833f7};NA
7.156658451;46.79243584;DBGI_SPL_000436;Iris spuria L. subsp. spuria;XX 0 FRIBG 20031176;Iris sintenisii;338404;species;;;{3fefcbd4-8d89-4532-972c-1a473ad5dece};NA
7.156696212;46.79250556;DBGI_SPL_000437;Aaunknown;;;0;;;primula acaulis selon panneau;{87285d58-890c-4c43-96f0-646dc021d477};NA
7.157158963;46.79226029;DBGI_SPL_000438;Ribes rubrum L. 'Blanc de Versailles';XX 0 FRIBG 10002012;Ribes rubrum;154642;species;http://www.wikidata.org/entity/Q146661;;{c7f44082-0992-44b7-8f0c-2cb2cd83c4e5};NA
7.156699635;46.79249221;DBGI_SPL_000439;Erica terminalis Salisb.;XX 0 BHU G-1977-995;Helicia terminalis;5716319;species;;;{3f083952-bc1c-4b94-b011-0598717fa087};NA
7.156694532;46.79250118;DBGI_SPL_000440;Primula auricula L.;CH 0 FRIBG 20030856;Primula auricula;330059;species;http://www.wikidata.org/entity/Q164186;;{0955f297-834c-48b4-b674-c770fe850635};NA
7.15664194;46.79250971;DBGI_SPL_000441;Polemonium caeruleum L.;XX 0 FRIBG 10002892;Polemonium caeruleum;567407;species;;;{ff4a627a-df7a-4f3a-a487-52c89b3fee7d};NA
7.156691446;46.79249022;DBGI_SPL_000442;Aaunknown;;;0;;;arbutus unedo selon panneau;{114518f6-f4ea-4ea4-ad8f-399b6c2588cb};NA
7.157037786;46.79245239;DBGI_SPL_000443;Ampelopsis glandulosa var. brevipedunculata (Maxim.) Momiy.;AT 0 GZU 95 200388;Ampelopsis glandulosa;769625;species;;;{2ea78b85-3eab-40dd-bee8-a1376ee7c413};NA
7.156996002;46.79231564;DBGI_SPL_000444;Taxus baccata L. femelle;XX 0 FRIBG 10002714;Taxus baccata;684215;species;http://www.wikidata.org/entity/Q179729;;{f0a1b63c-95b9-4c02-bae4-69e68f69489e};NA
7.156758909;46.79236605;DBGI_SPL_000445;Aaunknown;;;0;;;sassafras albidum selon panneau;{d013561d-4c27-40c7-99c6-9c0e7ebbd9e4};NA
7.157018105;46.79243154;DBGI_SPL_000446;Vitis vulpina L.;XX 0 FRIBG 10002487;Vitis vulpina;602495;species;http://www.wikidata.org/entity/Q1264038;;{8a260e13-1a27-451b-9e94-66aaee69fa1d};NA
7.15706576;46.79243536;DBGI_SPL_000447;Sempervivum grandiflorum Haw.;XX 0 FRIBG 10002697;Sempervivum grandiflorum;5729850;species;http://www.wikidata.org/entity/Q1548057;;{4a310760-5e04-443c-8ec5-7c0fd5992f6a};NA
7.157094393;46.79242498;DBGI_SPL_000448;Saxifraga hypnoides L.;XX 0 FRIBG 10002179;Saxifraga hypnoides;547207;species;;;{7ab6807e-aa3e-4f33-bec8-5547da5e1868};NA
7.156759948;46.79247238;DBGI_SPL_000449;Actinidia kolomikta (Maxim. et Rupr.) Maxim.;XX 0 FRIBG 20160295;Actinidia kolomikta;279941;species;http://www.wikidata.org/entity/Q132741;;{800fc9e2-8adf-4af1-81d1-3a7c9bf22059};NA
7.156956753;46.79245723;DBGI_SPL_000450;Hydrangea arborescens subsp. discolor (Ser.) E.M. McClint.;XX 0 FRIBG 10001361;Hydrangea arborescens;785493;species;http://www.wikidata.org/entity/Q278173;;{1006a9d3-3536-460a-84cd-96969236b325};NA
7.156967835;46.79245931;DBGI_SPL_000451;Hydrangea paniculata Siebold 'Grandiflora';XX 0 FRIBG 20150351;Hydrangea paniculata;225987;species;http://www.wikidata.org/entity/Q158443;;{50d17e7e-37dd-4059-8b05-2771da165173};NA
7.15700057;46.7924186;DBGI_SPL_000452;Paeonia rockii D.Y.Hong;PAYS INCONNU 0 FRIBG 20140335;Paeonia rockii;360650;species;http://www.wikidata.org/entity/Q2671785;;{cb5a685d-a108-4839-aa15-048dada58368};NA
7.157071142;46.79243053;DBGI_SPL_000453;Sempervivum montanum L.;FR 0 FRIBG 20110412;Sempervivum montanum;5326548;species;http://www.wikidata.org/entity/Q161409;;{920b0712-5d5e-45de-bb7f-254234b80306};NA
7.157085713;46.79242176;DBGI_SPL_000454;Saxifraga marginata Sternb.;XX 0 FRIBG 20010111;Saxifraga marginata;788682;species;;;{73dd4d1e-2221-42cc-9198-5fa92a61e497};NA
7.1568708;46.79236876;DBGI_SPL_000455;Dryopteris affinis (Lowe) Fraser-Jenk.;XX 0 FRIBG 20040454;Dryopteris affinis;509215;species;;;{830a74d8-cb09-445b-86f0-3b022b31735d};NA
7.156956691;46.79237411;DBGI_SPL_000456;Araucaria araucana (Molina) K. Koch;XX 0 FRIBG 20040709;Araucaria araucana;963047;species;http://www.wikidata.org/entity/Q158780;;{05b38322-bb68-4904-bf5a-ee4e4b29088c};NA
7.156604251;46.79251621;DBGI_SPL_000457;Impatiens x new guinea;XX 0 FRIBG 20170486;x Astroworthia;220658;genus;;;{8ead1ebe-de3a-4eb7-bd26-1a1087c58121};NA
7.157148524;46.79224031;DBGI_SPL_000458;Ribes uva-crispa var. sativum DC. 'Hinnonm�ki';XX 0 FRIBG 20040483;;0;;;;{d00adfb1-d554-496f-a703-bca0c8774db8};NA
7.157068725;46.79243195;DBGI_SPL_000459;Sempervivum tectorum L. subsp. tectorum;FR 0 FRIBG 20150312;Sempervivum tectorum;286742;species;http://www.wikidata.org/entity/Q161724;;{9f22a417-dd36-4d15-940a-d96a2c818ecf};NA
7.156650554;46.79251047;DBGI_SPL_000460;Phlox amplifolia Britton;XX 0 FRIBG 20120167;Phlox amplifolia;1012701;species;;;{7213dbf9-0ff2-4a0d-930a-4c32aa5f2187};NA
7.156682511;46.79249318;DBGI_SPL_000461;Aaunknown;;;0;;;Piéris selon écriteau;{3ad77ce9-3bb0-46f4-8155-ca6f2aac87f6};NA
7.157017536;46.79244759;DBGI_SPL_000462;Vitis labrusca L.;XX 0 FRIBG 10002486;Vitis labrusca;683964;species;http://www.wikidata.org/entity/Q311720;;{0c658c9c-6f18-4216-9358-bdffd2552e1c};NA
7.156739238;46.79239315;DBGI_SPL_000463;Asimina triloba (L.) Dunal 'Sunflower';XX 0 FRIBG 20140306;Asimina triloba;709969;species;http://www.wikidata.org/entity/Q948827;;{8fc438e8-4303-45aa-b06e-2cc1a5339549};NA
7.156738294;46.79243076;DBGI_SPL_000464;Nymphaea alba L.;XX 0 FRIBG 10001685;Nymphaea alba;1081719;species;http://www.wikidata.org/entity/Q147030;;{7a45dbfe-2c54-40da-9681-0dc174a95709};NA
7.157035922;46.79238825;DBGI_SPL_000465;Paeonia lutea Franch.;XX 0 FRIBG 20030654;Paeonia lutea;163410;species;;;{f671e9df-eb5d-483f-8381-ed61b1cc4764};NA
7.156820149;46.79247643;DBGI_SPL_000466;Pterostyrax hispida Siebold et Zucc.;XX 0 FRIBG 20040423;Acalypha hispida;1015290;species;http://www.wikidata.org/entity/Q163528;;{5a77e6c8-5abd-4755-bfe2-3cca3011bd29};NA
7.156878179;46.79237523;DBGI_SPL_000467;Athyrium filix-femina (L.) Roth;CH 0 FRIBG 20020607;Athyrium filix-femina;718937;species;http://www.wikidata.org/entity/Q1345500;;{6e6d527c-58cd-49af-a5e4-b93a7411d963};NA
7.157089003;46.79232889;DBGI_SPL_000468;Fothergilla gardenii L.;XX 0 FRIBG 10001206;Fothergilla gardenii;916076;species;;;{ece80f2e-0d92-49d5-9d13-9f5044b11650};NA
7.157115971;46.79241383;DBGI_SPL_000469;Mitella caulescens Nutt.;XX 0 FRIBG 10001646;Mitella caulescens;365307;species;;;{a3296e78-bc5d-466c-a21a-b51a752cd1e9};NA
7.156637982;46.79250265;DBGI_SPL_000470;Phlox drummondii Hook.;XX 0 FRIBG 20010620;Phlox drummondii;706216;species;http://www.wikidata.org/entity/Q164835;;{1ca477db-c3ab-4ce3-a861-3c89b635ff9d};NA
7.15666673;46.79249796;DBGI_SPL_000471;Vaccinium corymbosum L. 'Patriot';XX 0 FRIBG 20150320;Vaccinium corymbosum;567253;species;http://www.wikidata.org/entity/Q468695;;{9c738771-29bb-42b0-af7a-8564dc220de8};NA
7.156648536;46.79239105;DBGI_SPL_000472;Tulbaghia violacea Harv.;XX 0 UNKAR 2011-5108;Tulbaghia violacea;809755;species;http://www.wikidata.org/entity/Q7851979;;{3cb687f6-cc92-4be4-87f4-c791d9051526};NA
7.15687494;46.79235849;DBGI_SPL_000473;Polystichum aculeatum (L.) Roth;XX 0 FRIBG 10002895;Polystichum aculeatum;682251;species;http://www.wikidata.org/entity/Q28957;;{7921147f-2fa6-44d6-b785-8f2569ac8c13};NA
7.156636298;46.79250661;DBGI_SPL_000474;Cobaea scandens Cav.;XX 0 FRIBG 10000940;Cobaea scandens;558456;species;;;{58680eeb-2fb7-4f69-b4d2-8d8e01ebce78};NA
7.156608564;46.79251298;DBGI_SPL_000475;Aaunknown;;;0;;;fleurs roses à violettes;{d99131bf-9e68-482c-b2af-e3a232dec2ba};NA
