"fid","Plant_ID","spl_code","Panel","General","Detail","Cut","Panel.Label","x_coord","y_coord","mg"
"48","Pelargonium klinghardtense R. Knuth","dbgi_000980","DCIM/JPEG_20230323121148562.jpg","DCIM/JPEG_20230323121201498.jpg","DCIM/JPEG_20230323121220375.jpg","DCIM/JPEG_20230323121237796.jpg","DCIM/JPEG_20230323121300831.jpg","7.15568345084293","46.7930884784948","49"
"47","Pelargonium tongaense Vorster","dbgi_000982","DCIM/JPEG_20230323120626407.jpg","DCIM/JPEG_20230323120639800.jpg","DCIM/JPEG_20230323120709832.jpg","DCIM/JPEG_20230323120805179.jpg","DCIM/JPEG_20230323120823067.jpg","7.15568642922624","46.7930883020758","49"
"38","Gasteria pillansii Kensit","dbgi_000983","DCIM/JPEG_20230323091038997.jpg","DCIM/JPEG_20230323091101398.jpg","DCIM/JPEG_20230323091122572.jpg","DCIM/JPEG_20230323091159842.jpg","DCIM/JPEG_20230323091224573.jpg","7.1557067077617","46.7930812513993","NA"
"17","Callisia navicularis (Ortgies) D.R. Hunt","dbgi_000984","DCIM/JPEG_20230322103439835.jpg","DCIM/JPEG_20230322103454538.jpg","DCIM/JPEG_20230322103514950.jpg","DCIM/JPEG_20230322103529749.jpg","DCIM/JPEG_20230322103553066.jpg","7.15576863419015","46.7930795882648","NA"
"20","Echeveria bicolor (Kunth) E. Walther","dbgi_000987","DCIM/JPEG_20230322105519107.jpg","DCIM/JPEG_20230322105535548.jpg","DCIM/JPEG_20230322105743230.jpg","DCIM/JPEG_20230322105802253.jpg","DCIM/JPEG_20230322105824478.jpg","7.15575842809361","46.7930781730416","NA"
"83","Acacia karroo Hayne","dbgi_000988","DCIM/Succulent_greenhouse/Acacia karroo Hayne_dbgi_000988_Panel.jpg","DCIM/Succulent_greenhouse/Acacia karroo Hayne_dbgi_000988_General.jpg","DCIM/Succulent_greenhouse/Acacia karroo Hayne_dbgi_000988_Detail.jpg","DCIM/Succulent_greenhouse/Acacia karroo Hayne_dbgi_000988_Cut.jpg","DCIM/Succulent_greenhouse/Acacia karroo Hayne_dbgi_000988_Panel+Label.jpg","7.15569800493637","46.7931048852382","NA"
"29","Glottiphyllum cruciatum (Haw.) N.E. Br.","dbgi_000989","DCIM/JPEG_20230322142144296.jpg","DCIM/JPEG_20230322142153753.jpg","DCIM/JPEG_20230322142222592.jpg","DCIM/JPEG_20230322142234393.jpg","DCIM/JPEG_20230322142253274.jpg","7.15573089903448","46.7930854509155","NA"
"32","Titanopsis calcarea (Marloth) Schwantes","dbgi_000990","DCIM/JPEG_20230322144641258.jpg","DCIM/JPEG_20230322144653768.jpg","DCIM/JPEG_20230322144716761.jpg","DCIM/JPEG_20230322144735168.jpg","DCIM/JPEG_20230322144751303.jpg","7.15572499197418","46.7930813644765","NA"
"8","Lenophyllum texanum (J.G. Sm.) Rose","dbgi_000991","DCIM/JPEG_20230223114928457.jpg","DCIM/JPEG_20230223114937912.jpg","DCIM/JPEG_20230223114947462.jpg","DCIM/JPEG_20230223115024983.jpg","DCIM/JPEG_20230223115043644.jpg","7.15579379288022","46.7930713204464","NA"
"6","Sedum nussbaumerianum Bitter","dbgi_000992","DCIM/JPEG_20230223114002735.jpg","DCIM/JPEG_20230223114013190.jpg","DCIM/JPEG_20230223114027628.jpg","DCIM/JPEG_20230223114038999.jpg","DCIM/JPEG_20230223114127012.jpg","7.15580262235974","46.7930713423957","NA"
