mg;Plant_ID;spl_code;Airtable;unknown;x_coord;y_coord;UUID
50;Pennisetum compressum R. Br.;DBGI_SPL_000516;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/receVJNUSVaVEugTg;;7.156706093;46.79223497;{712d2801-5b5c-4f53-a196-d9b80c9e13aa}
50.3;Brassica oleracea L. subsp. oleracea;DBGI_SPL_000517;;;7.156606855;46.79238441;{ebceaea6-bb91-4d95-b65b-1a6245cf1607}
48.2;Berberis wallichiana DC.;DBGI_SPL_000519;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recTCo9bRLBhA1w0A;;7.156541338;46.79234424;{76938dc9-81b6-4553-8824-e76be2c409d5}
48.1;Canna x generalis L.H. Bailey et E.Z. Bailey;DBGI_SPL_000520;;;7.156772142;46.79227286;{f80dbf22-6c45-41c8-a95e-da7dea9167cf}
48.1;Tetracentron sinense Oliv.;DBGI_SPL_000521;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/rechw3cuPJmEmeQws;;7.156606645;46.79222102;{94517944-ceef-4cde-b2a1-d525d7cdba1c}
51.9;Cortaderia selloana (Schult. et Schult. f.) Asch. et Graebn.;DBGI_SPL_000522;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/rec3lRMxMSf8yIo6W;;7.156604483;46.79233021;{a6ff5a1b-a70f-4838-b612-fb66eaacc236}
51.3;Berberis stenophylla Lindl.;DBGI_SPL_000523;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recqZnBlS1rYzTkFu;;7.156529713;46.79236203;{aaa58b0d-df9b-437c-876d-71551c93992e}
;Nandina domestica Thunb.;DBGI_SPL_000524;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recKW95GKZreyEg1t;;7.156502454;46.79239615;{970f502e-6287-4bf4-8961-24d3d7255b11}
51.7;Buxus sempervirens L.;DBGI_SPL_000525;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/rectosLpKWEhCzO7Q;;7.156631113;46.79224484;{ca422db5-c2b7-44d7-ac12-78814dffaf8d}
49.4;Calycanthus fertilis Walter s.l.;DBGI_SPL_000526;;;7.156779706;46.79238882;{cee9f8b7-c49f-4145-bb2f-ff7ee4fcb419}
47.5;Iris foetidissima L.;DBGI_SPL_000527;;;7.156648005;46.79244218;{dacb15d6-a901-49c1-ae3c-6f0e1e3b4454}
moisi;Iris pallida Lam.;DBGI_SPL_000529;;;7.15664573;46.79245891;{292c3466-0d70-46c8-ae14-24c967fc8121}
moisi;;DBGI_SPL_000530;;iris pallida subsp illyrica;7.156643674;46.79246215;{4e68b106-9d74-45de-bd6c-f0b23a1d9dd4}
50.7;Saruma henryi Oliv.;DBGI_SPL_000531;;;7.156841875;46.79233727;{6bf3e605-c904-4727-bbef-16448695d864}
50.8;Chimonanthus praecox (L.) Link;DBGI_SPL_000532;;;7.156754533;46.79241129;{d518e6df-4960-45ed-bc84-a842cb30d731}
47.8;;DBGI_SPL_000533;;iris missouriensis;7.156662633;46.79241469;{e0d7ba26-7b48-4440-a4cc-2a28234c1bda}
51.6;Hosta sieboldiana (Hook.) Engl. var. sieboldiana;DBGI_SPL_000534;;;7.156710231;46.79231766;{6a7b636a-5784-4a77-8217-bbc8802b6843}
51;Magnolia liliiflora Desr. 'Nigra';DBGI_SPL_000535;;;7.156696499;46.79244598;{f05c6598-e2ee-4d0c-8042-c6543767ccd7}
51.8;Magnolia stellata (Siebold et Zucc.) Maxim. 'Royal Star';DBGI_SPL_000536;;;7.156713668;46.79241886;{a4fe1472-be13-4ce2-ad4f-0ff2b646d9f4}
49.3;Sisyrinchium patagonicum Phil.;DBGI_SPL_000537;;;7.156670047;46.79241761;{e1268e97-b6d2-497c-9928-1c6978c9122c}
52.3;Aristolochia rotunda L.;DBGI_SPL_000538;;;7.156835751;46.79233134;{591325e0-10c8-41fd-af90-87cb879fe20c}
50.1;Allium x proliferum (Moench) Willd.;DBGI_SPL_000539;;;7.156662533;46.79238434;{fc5eac45-ab8d-4a58-bf8b-809a8d53749f}
50;Allium tuberosum Spreng.;DBGI_SPL_000540;;;7.156665551;46.79236846;{8cf11a71-11f3-4d7b-a79e-960f9b79d52a}
50.4;Iris crocea R.C. Foster;DBGI_SPL_000541;;;7.156649837;46.79243507;{0a1256bd-e4ed-41bc-8295-a9300ded46a1}
52.4;Iris sibirica L.;DBGI_SPL_000542;;;7.15665606;46.7924273;{f915a010-de1b-48b9-9f22-e4d191136c40}
47.5;Festuca ovina L.;DBGI_SPL_000543;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recXPsStREPh1QSkX;;7.15664674;46.7923337;{e2de4b04-1003-4fa1-9daa-0783fc6deca0}
49.9;Brassica oleracea L. Rubra Group;DBGI_SPL_000544;;;7.156588988;46.79240484;{40a540f3-07cd-4bb1-85f8-277aab9a98ff}
48.4;Brassica oleracea L. Sabellica Group;DBGI_SPL_000546;;;7.156598227;46.79239636;{6baf43a8-2015-4b71-93d7-476bf17f6305}
49.1;Berberis gagnepaini C.K.Schneid.;DBGI_SPL_000547;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/reclf2UcHxZo1Etkg;;7.156534421;46.79235431;{cfa94c6d-41ad-4cd2-b8c3-9f92dfa9a064}
50.5;Mahonia bealei Carr.;DBGI_SPL_000548;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recTikdigOfgl3ixG;;7.156509421;46.79238329;{3b7f483a-9782-47be-90a0-f13138e9f262}
49;Molinia caerulea (L.) Moench;DBGI_SPL_000550;airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recKeNwE97PDLIR9M;;7.156610726;46.7923204;{1912af50-dabe-409f-9d78-a1f2daaa6ddd}
